threshold,fraud_precision,fraud_recall,fraud_f1,false_positive,false_negative,tn,tp,macro_f1,accuracy
0.33,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.34,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.35,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.36,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.37,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.38,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.39,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.4,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.41,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.42,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.43,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.44,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.45,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.46,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.47,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.48,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.49,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.5,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.51,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.52,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.53,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.54,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.55,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.56,0.9344262295081968,0.8260869565217391,0.8769230769230769,4,12,1358,57,0.935533280774862,0.9888190076869322
0.57,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.58,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.59,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.6,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.61,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.62,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.63,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
0.64,0.9333333333333333,0.8115942028985508,0.8682170542635659,4,13,1358,56,0.9309983917494192,0.9881201956673655
