weight_svm,weight_bert,threshold,pr_auc,roc_auc,fraud_precision,fraud_recall,fraud_f1,confusion_matrix
0.25,0.75,0.88,0.8594854262863598,0.9558221326904659,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.5,0.5,0.77,0.859380558481482,0.9539769162180904,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.5,0.5,0.78,0.859380558481482,0.9539769162180904,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.6000000000000001,0.3999999999999999,0.73,0.8589864822289692,0.9536012681219246,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.65,0.35,0.7000000000000001,0.8582107819992105,0.9533948680690862,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.65,0.35,0.7100000000000001,0.8582107819992105,0.9533948680690862,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.8,0.19999999999999996,0.72,0.8564835184215155,0.9529490439549552,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.8,0.19999999999999996,0.73,0.8564835184215155,0.9529490439549552,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.8,0.19999999999999996,0.74,0.8564835184215155,0.9529490439549552,0.9615384615384616,0.7009345794392523,0.8108108108108109,"{'tn': 2261, 'fp': 3, 'fn': 32, 'tp': 75}"
0.7000000000000001,0.29999999999999993,0.64,0.8589267224230894,0.9533164360490075,0.927710843373494,0.719626168224299,0.8105263157894737,"{'tn': 2258, 'fp': 6, 'fn': 30, 'tp': 77}"
