condition,condition_label,seed,best_epoch,threshold,training_time_sec,pr_auc,roc_auc,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1
B,B: exact dedup + stratified random split,1,5,0.85,1140.670381,0.8532657809677724,0.9764580883414826,0.984822934232715,0.9382716049382716,0.7102803738317757,0.8085106382978723,0.9003044850839669,0.9838167622190395
B,B: exact dedup + stratified random split,2,4,0.55,1121.218434399998,0.9247765148825798,0.9839739225516289,0.9915682967959528,0.9578947368421052,0.8504672897196262,0.900990099009901,0.948293376233264,0.991328988479477
B,B: exact dedup + stratified random split,3,5,0.65,1119.139585500001,0.9066561700689447,0.986936518743166,0.9907251264755481,0.9292929292929293,0.8598130841121495,0.8932038834951457,0.9441779664280487,0.9905532071401926
B,B: exact dedup + stratified random split,4,5,0.5,1138.3075716999992,0.9104017852486417,0.9889191475315138,0.9898819561551433,0.946236559139785,0.822429906542056,0.88,0.9373591549295774,0.9895434113958624
B,B: exact dedup + stratified random split,5,5,0.1,1139.9289549999994,0.8842109364410963,0.9809061088073281,0.9869308600337268,0.9130434782608695,0.7850467289719626,0.8442211055276382,0.9187002117297156,0.9864598707449277
B,B: exact dedup + stratified random split,6,4,0.7,1117.7815594999993,0.8535693684842928,0.9655917971570629,0.9869308600337268,0.9523809523809523,0.7476635514018691,0.837696335078534,0.9154438187582434,0.9861769847703906
B,B: exact dedup + stratified random split,7,3,0.8,1101.1156249999985,0.8775916174919051,0.976513791751769,0.9856661045531198,0.8762886597938144,0.794392523364486,0.8333333333333334,0.9129221732745962,0.9853305698147501
B,B: exact dedup + stratified random split,8,4,0.95,1121.4614634999998,0.8988496021790745,0.9906727734109055,0.9877740303541316,0.8979591836734694,0.822429906542056,0.8585365853658536,0.926073756441464,0.9875177763323438
B,B: exact dedup + stratified random split,9,4,0.7,1119.6086346999982,0.8355962518230785,0.9724412535330405,0.9844013490725126,0.8723404255319149,0.7663551401869159,0.8159203980099502,0.9038880000175219,0.9839192332099079
C,C: exact dedup + group-aware split,0,4,0.1,1120.5089676999996,0.8785062517318188,0.976449753971137,0.9852382960776044,0.8673469387755102,0.794392523364486,0.8292682926829268,0.910776971997183,0.9849288999941677
C,C: exact dedup + group-aware split,1,5,0.05,1118.5918306999993,0.8469814523424729,0.9803589709718965,0.9869253479544496,0.88,0.822429906542056,0.8502415458937198,0.9217029118663748,0.9867143696491739
C,C: exact dedup + group-aware split,2,4,0.05,1096.425839399999,0.8381486478103789,0.9670337835606485,0.9827077182623366,0.8586956521739131,0.7383177570093458,0.7939698492462312,0.892472487907289,0.982084546781984
C,C: exact dedup + group-aware split,3,5,0.4,1117.3013625999993,0.9019323414457263,0.9771061061391632,0.9881906368620835,0.9340659340659341,0.794392523364486,0.8585858585858586,0.9262119433774363,0.9877342820089982
C,C: exact dedup + group-aware split,4,5,0.15,1137.054508600002,0.8390088460714253,0.9670256441996246,0.9844013490725126,0.9069767441860465,0.7289719626168224,0.8082901554404145,0.9000800370698008,0.9835887067815273
C,C: exact dedup + group-aware split,5,5,0.25,1133.9316287000001,0.8612970295457387,0.9592885540037048,0.9876700680272109,0.9333333333333333,0.7850467289719626,0.8527918781725888,0.9231787214248788,0.9871613195853365
C,C: exact dedup + group-aware split,6,5,0.15,1141.4363954999972,0.8028935765803106,0.9457498101119515,0.981864192323914,0.8478260869565217,0.7289719626168224,0.7839195979899497,0.8872272434149616,0.9812106222347637
C,C: exact dedup + group-aware split,7,5,0.3,1161.3686653999976,0.8281531074618447,0.9704105273684913,0.9831223628691983,0.875,0.7264150943396226,0.7938144329896907,0.8925077444314929,0.9823727934152098
C,C: exact dedup + group-aware split,8,5,0.35,1142.3084888000012,0.8535098489551995,0.975681945774578,0.9839730071699705,0.8556701030927835,0.7757009345794392,0.8137254901960784,0.9026758786370432,0.9835978473705568
C,C: exact dedup + group-aware split,9,3,0.95,1124.301333000003,0.8565164727634951,0.9697087282454344,0.9831294812315479,0.9036144578313253,0.7009345794392523,0.7894736842105263,0.8903431689945426,0.9821084489098201
