threshold,fraud_precision,fraud_recall,fraud_f1,balanced_accuracy,youden_j,objective_score
0.5800000000000002,0.6503496503496503,0.7469879518072289,0.6953271028037383,0.8640296563881875,0.728059312776375,0.6953271028037383
0.5900000000000002,0.6554770318021201,0.7449799196787149,0.6973684210526315,0.8632622483118163,0.7265244966236326,0.6973684210526315
0.6000000000000002,0.6601423487544484,0.7449799196787149,0.7,0.8634515347021248,0.7269030694042495,0.7
0.6100000000000001,0.6666666666666666,0.7429718875502008,0.7027540360873694,0.8627314482233306,0.7254628964466612,0.7027540360873694
0.6200000000000001,0.6684782608695652,0.7409638554216867,0.7028571428571428,0.8618220753542278,0.7236441507084557,0.7028571428571428
0.6300000000000001,0.6703096539162113,0.7389558232931727,0.7029608404966571,0.8609127024851251,0.7218254049702502,0.7029608404966571
0.6400000000000001,0.6815642458100558,0.7349397590361446,0.7072463768115942,0.8593778863323824,0.7187557726647649,0.7072463768115942
0.6500000000000001,0.6860902255639098,0.7329317269076305,0.7087378640776699,0.8585631566584339,0.7171263133168677,0.7087378640776699
0.6600000000000001,0.6880907372400756,0.7309236947791165,0.7088607594936709,0.8576537837893311,0.7153075675786622,0.7088607594936709
0.6700000000000002,0.6908396946564885,0.7269076305220884,0.7084148727984344,0.8557877164535485,0.7115754329070969,0.7084148727984344
0.6800000000000002,0.6961538461538461,0.7269076305220884,0.7111984282907662,0.8559770028438569,0.7119540056877138,0.7111984282907662
0.6900000000000002,0.6998050682261209,0.7208835341365462,0.7101879327398615,0.8531542410413944,0.7063084820827887,0.7101879327398615
0.7000000000000002,0.7013752455795678,0.7168674698795181,0.7090367428003972,0.8512408521080346,0.7024817042160691,0.7090367428003972
0.7100000000000002,0.7049504950495049,0.714859437751004,0.7098703888334995,0.850378800836509,0.7007576016730179,0.7098703888334995
0.7200000000000002,0.708,0.7108433734939759,0.7094188376753507,0.8485127335007263,0.6970254670014526,0.7094188376753507
0.7300000000000002,0.7137096774193549,0.7108433734939759,0.7122736418511066,0.8487020198910349,0.6974040397820698,0.7122736418511066
0.7400000000000002,0.7169042769857433,0.7068273092369478,0.7118301314459049,0.8468359525552522,0.6936719051105045,0.7118301314459049
0.7500000000000002,0.7227926078028748,0.7068273092369478,0.7147208121827411,0.8470252389455608,0.6940504778911216,0.7147208121827411
0.7600000000000002,0.7252066115702479,0.7048192771084337,0.714867617107943,0.8461158660764581,0.6922317321529161,0.714867617107943
0.7700000000000002,0.73125,0.7048192771084337,0.7177914110429447,0.8463051524667666,0.6926103049335333,0.7177914110429447
0.7800000000000001,0.7393162393162394,0.6947791164658634,0.7163561076604554,0.8416163233285213,0.6832326466570426,0.7163561076604554
0.7900000000000001,0.7445887445887446,0.6907630522088354,0.7166666666666667,0.8397975775903159,0.6795951551806318,0.7166666666666667
0.8000000000000002,0.7445414847161572,0.6847389558232931,0.7133891213389121,0.836832850995122,0.6736657019902439,0.7133891213389121
0.8100000000000002,0.7477876106194691,0.678714859437751,0.7115789473684211,0.8339627675950823,0.6679255351901645,0.7115789473684211
0.8200000000000002,0.7472035794183445,0.6706827309236948,0.7068783068783069,0.8299940249356312,0.6599880498712625,0.7068783068783069
0.8300000000000002,0.751131221719457,0.6666666666666666,0.7063829787234043,0.8281279575998486,0.6562559151996972,0.7063829787234043
0.8400000000000002,0.7534562211981567,0.6566265060240963,0.7017167381974249,0.8232498420712948,0.6464996841425896,0.7017167381974249
0.8500000000000002,0.7575757575757576,0.6526104417670683,0.7011866235167206,0.8213837747355122,0.6427675494710243,0.7011866235167206
0.8600000000000002,0.7684964200477327,0.6465863453815262,0.7022900763358778,0.818702977725781,0.6374059554515621,0.7022900763358778
0.8700000000000002,0.7692307692307693,0.642570281124498,0.700218818380744,0.8167422671948441,0.6334845343896882,0.700218818380744
0.8800000000000002,0.7783251231527094,0.6345381526104418,0.6991150442477876,0.8130101325232788,0.6260202650465576,0.6991150442477876
0.8900000000000002,0.7924050632911392,0.6285140562248996,0.7010078387458006,0.8103766571111248,0.6207533142222497,0.7010078387458006
0.9000000000000002,0.8036175710594315,0.6244979919678715,0.7028248587570621,0.8086525545680736,0.6173051091361472,0.7028248587570621
0.9100000000000003,0.8093994778067886,0.6224899598393574,0.7037457434733257,0.8077905032965479,0.6155810065930958,0.7037457434733257
0.9200000000000003,0.8201058201058201,0.6224899598393574,0.7077625570776256,0.8080271112844335,0.616054222568867,0.7077625570776256
0.9300000000000002,0.8257372654155496,0.6184738955823293,0.7072330654420207,0.806161043948651,0.6123220878973019,0.7072330654420207
0.9400000000000002,0.8379888268156425,0.6024096385542169,0.7009345794392523,0.7984601666176347,0.5969203332352695,0.7009345794392523
0.9500000000000002,0.8424068767908309,0.5903614457831325,0.6942148760330579,0.7925780350248239,0.5851560700496479,0.6942148760330579
